"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
БИБИКОЛЬ РУС;Лента;12;12;12;12;1.0000;1.0000;1.0000
Форт;Смарт Велью Ритейл;1;1;1;1;1.0000;1.0000;1.0000
БИБИКОЛЬ РУС;ТАНДЕР;2;2;0;2;1.0000;0.0000;1.0000
БИЗ ФРУТС;Т и К Продукты;3;3;3;3;1.0000;1.0000;1.0000
Форт;Розничная сеть Зельгрос;76;0;76;76;0.0000;1.0000;1.0000
Форт;Ритейл-Центр;2;2;2;2;1.0000;1.0000;1.0000
Бизнес;СКБ Контур;103;0;92;103;0.0000;0.8932;1.0000
Форт;ДИКСИ ЮГ;28;27;28;28;0.9643;1.0000;1.0000
Форт;Авоська – два;5;5;5;5;1.0000;1.0000;1.0000
Форвард Трейд;"Торговый дом ""ПЕРЕКРЕСТОК";5;5;2;5;1.0000;0.4000;1.0000
Форвард Трейд;ТВК-Р;13;12;0;13;0.9231;0.0000;1.0000
Форвард Трейд;СКБ Контур;5;0;3;5;0.0000;0.6000;1.0000
Фонте;Лента;3;0;3;3;0.0000;1.0000;1.0000
Бирмаркет;ТВК-Р;3;3;0;3;1.0000;0.0000;1.0000
Фонте;Авоська – два;3;0;3;3;0.0000;1.0000;1.0000
ФММ;ТАНДЕР;2;2;2;2;1.0000;1.0000;1.0000
ФЛЭКС;ТВК-Р;18;18;18;18;1.0000;1.0000;1.0000
Бифор плюс;Пет Ритейл;6;6;6;6;1.0000;1.0000;1.0000
Блиц Агро;ТАНДЕР;48;48;48;48;1.0000;1.0000;1.0000
БМС;СКБ Контур;10;10;10;10;1.0000;1.0000;1.0000
Фирма ЭЙС;"Торговый дом ""ПЕРЕКРЕСТОК";11;11;0;11;1.0000;0.0000;1.0000
Боб и Соя;КОРУС Консалтинг СНГ;10;1;10;10;0.1000;1.0000;1.0000
Богачева Людмила Борисовна;ТАНДЕР;14;14;14;14;1.0000;1.0000;1.0000
Богачева Людмила Борисовна;"Торговый дом ""ПЕРЕКРЕСТОК";4;4;4;4;1.0000;1.0000;1.0000
Фирма С-2;Т и К Продукты;3;3;3;3;1.0000;1.0000;1.0000
Борисовская керамика;"Торговый дом ""ПЕРЕКРЕСТОК";6;6;6;6;1.0000;1.0000;1.0000
Борисоглебский трикотаж;"Торговый дом ""ПЕРЕКРЕСТОК";2;2;2;2;1.0000;1.0000;1.0000
Фирма Надежда;Т и К Продукты;4;4;4;4;1.0000;1.0000;1.0000
Ботаника;ТАНДЕР;9;9;9;9;1.0000;1.0000;1.0000
Фирма Надежда;СПАР МИДДЛ ВОЛГА;50;2;50;50;0.0400;1.0000;1.0000
